count	reward_sum	squared_reward_sum	length
109	-108.68716485844925	10003.676370330604	202
110	-106.84208525298163	10003.324563666352	212
111	-121.39117372315377	10011.89333771118	216
112	-117.5014287410304	10011.09042402069	200
113	-86.95439824974164	16.059011375220887	2000
114	-101.5197463168297	9.851670802755475	2000
115	-88.08832484018058	9.847619156238418	2000
116	-119.13171900063753	10006.665046489226	63
117	-112.54640700377058	11.79233879787014	2000
118	-62.95455108057649	11.377184291522981	2000
119	-114.34896571096033	12.291511968017389	2000
120	-124.7261239127256	10012.660879399013	243
121	-65.87673855852336	10.969019753714825	2000
122	-102.27151860110462	10003.806430109258	63
123	-80.91424483596347	17.038843068581855	2000
124	-76.50970864470582	17.08678282957163	2000
125	-63.42449263448361	13.040773094287161	2000
126	-120.34573953133076	10008.019153610556	107
127	-100.04698031395674	10003.641008910005	115
128	-74.89382677897811	8.66312455559189	2000
129	-65.28881981980521	17.569678476614154	2000
130	-160.82016510004178	10016.20969955925	1397
131	-73.80507115373621	12.08748935030621	2000
132	-144.88489020860288	10026.38886687314	1382
133	-123.55954776983708	10007.297905645528	134
134	-102.47147178836167	10000.871030408674	42
135	-110.87874783715233	10007.752506625679	155
136	-28.169510528095998	23.43283079940627	2000
137	-102.3652039738372	10001.05202927798	62
138	-128.32147434307262	10014.005454742663	117
139	-132.58490960369818	10016.504911912527	406
140	-103.58121287915856	10001.492901796455	57
141	-105.10253333393484	10006.899598222251	118
142	-106.63073474122211	10001.69541039735	51
143	-96.34567727707326	10002.76300271795	100
144	-100.82769841048867	10000.845090544564	104
145	-89.99085549381562	10006.012137934818	156
146	-60.43887401698157	8.47307871726381	2000
147	-123.50419374741614	10013.109898185692	69
148	-143.81497905036667	10016.132726015709	1161
149	-122.84548627305776	10009.340483419948	114
150	-111.10496743256226	10007.495919509065	68
151	-121.98968761367723	10010.06714645006	69
152	-131.8249083077535	10010.237553816834	150
153	-132.37412798125297	10017.450564809418	127
154	-92.55027104727924	21.405456891316323	2000
155	-122.02510560047813	9.301700685218368	2000
156	-105.21051715582144	13.71496769835527	2000
157	-118.74096164130606	9.633307695196027	2000
158	-101.59355928469449	10002.566398796833	63
159	-91.04353351134341	14.054569469819794	2000
160	-85.58961811556946	7.035071769583219	2000
161	-85.89431288128253	6.452014402551655	2000
162	-77.00972409710812	5.983755287640854	2000
163	-76.030906187254	8.229647117766895	2000
164	-74.87706894031726	7.95852721580335	2000
165	-160.8306775703095	17.202345287065857	2000
166	-108.22274600318633	13.86644548996696	2000
167	-110.31601172394585	9.293723300652939	2000
168	-99.8912435201928	10003.19612943339	58
169	-71.37573684751987	11.971917330951632	2000
170	-82.1369490751531	16.752996431424314	2000
171	-98.58987230597995	14.694970091160377	2000
172	-108.86596443085	10002.362338487643	76
173	-97.32502414705232	10003.215624051018	92
174	-105.32807793980464	10002.972543057716	84
175	-99.14496060926467	10003.32683339933	85
176	-99.55693163536489	10005.75021873308	102
177	-128.12398905912414	10014.469307470903	105
178	-128.71641549188644	10008.090536440091	186
179	-114.4152383171022	10005.594002250975	51
180	-104.24736862396821	10003.768309241905	74
181	-64.3294095385354	21.044078980316087	2000
182	-103.52183447126299	10005.425572861786	91
183	-126.05809328518808	10009.058032591734	111
184	-90.45344774681143	24.37474597870801	2000
185	-104.09388584876433	10001.445968944077	47
186	-99.236793899443	10006.134427408311	92
187	-100.34883159119636	10001.096680237555	61
188	-100.7411457602866	10003.716194499759	71
189	-114.10582262091339	10007.252545301522	78
190	-137.3693164625438	10017.62951575952	400
191	-134.18082181946374	10013.83398549874	450
192	-71.57723989745136	20.341259176220408	2000
193	-84.91915408044588	20.22262365635861	2000
194	-100.24713090620935	10001.185520885641	58
195	-109.78102378826588	10002.109040253734	60
196	-100.39402224402875	10000.820254084772	57
197	-118.2162307696417	10008.33236240868	137
198	-198.31943554454483	10023.918357781049	1656
199	-97.03794903797098	10002.882455012616	84
200	-99.47554343938828	10002.24709245835	63
201	-101.76358887786046	10000.768750039733	59
202	-107.88391663134098	10002.08698840699	38
203	-104.49315143469721	10001.404754304993	35
204	-117.31613269075751	10009.051917930321	69
205	-99.82114587118849	10002.277405353398	73
206	-100.39389049587771	10001.658916114256	55
207	-99.0095450929366	10003.771841648206	81
208	-110.72262418828905	10003.277374460644	63
209	-100.13139121141285	10003.697929241891	57
210	-98.91164485970512	10005.472785626242	199
211	-113.60094329807907	10003.162361549284	77
212	-133.0291844693711	10021.286890650605	349
213	-62.24901309981942	22.198508472754593	2000
214	-104.98029887583107	10001.394801336377	41
215	-118.5005197301507	10007.539497092106	94
216	-127.5572926462628	10009.268793420579	184
217	-130.3884267900139	10016.239986910505	147
218	-101.05573441972956	10003.456903557708	148
219	-118.45919257216156	10007.391939442687	95
220	-128.1825001705438	10016.567072961825	122
221	-101.75182299502194	10003.541269777617	70
222	-114.62262665480375	10008.942544374182	73
223	-105.13361919019371	10005.068018375894	98
224	-100.5817499863333	10008.483992465814	142
225	-136.1283447444439	10022.730336956722	156
226	-128.7644714359194	10015.983657663288	87
227	-123.07042429083958	10013.046640718387	75
