count	reward_sum	squared_reward_sum	length
65	-91.0990027052062	10010.600723810863	571
66	-109.02868522330081	10001.817650757368	61
67	-90.10261115314549	10007.411514367872	361
68	-115.70558361535466	10003.293806651685	103
69	-92.38784493826063	10003.843596581879	172
70	-112.01176063886788	10002.243994814713	103
71	-112.89809942247068	10003.864123677024	56
72	-116.86025791048975	10005.517069857626	63
73	-94.94133014584725	10002.807010604927	110
74	-107.26155921922074	10001.140403229703	64
75	-115.49899067161309	10004.342119116205	66
76	-113.91790360931269	10003.034887412477	77
77	-88.2673937122963	10007.2209361212	137
78	-96.96362149829774	10003.372231173646	76
79	-94.40630098492349	10003.945915497517	88
80	-84.49668980016448	10006.623325306311	202
81	-87.22735218623085	10006.354474634541	178
82	-86.72725909017157	10006.359295798864	210
83	-122.24048773160649	10008.034778556173	78
84	-116.29111254984551	10004.350993566084	75
85	-124.91065581112159	10009.222753265803	84
86	-115.13151962478472	10003.814884450774	72
87	-95.52546610585829	10003.452380381763	109
88	-89.64451687054212	15.007977744184453	2000
89	-95.90201032884436	10004.636499214403	109
90	-96.02773960577863	10004.516812275413	91
91	-94.52299683642184	10004.251144285945	80
92	-95.06659551867591	10004.223751685018	79
93	-126.64349405728458	10006.038046758924	1017
94	-95.43218045062748	10003.02420230181	87
95	-124.2945079273642	10012.888394024512	1541
96	-120.16603025551554	10004.149597894555	146
97	-93.12606613367714	10004.920794050213	127
98	-96.66126118118532	10004.027868489378	117
99	-91.69686374256125	10004.482504429085	132
100	-118.13996611374895	10003.691412771677	132
101	-97.69927908480777	10003.46945318475	63
102	-99.59388233264293	10003.706942068917	57
103	-98.80930609091864	10002.823772114321	62
104	-116.03784802733061	10003.769441910441	101
105	-119.84853108037507	10004.380738258904	120
106	-96.55325011604336	10004.16086901527	69
107	-99.11844964233318	10004.036359656067	60
108	-86.92231199543059	10007.888173890808	135
109	-97.54914699623667	10004.871447164905	64
110	-94.42585805048375	10004.715334543129	116
111	-85.063514047605	10007.092141971025	130
112	-92.16343472485521	10005.293601999956	117
113	-84.6844686737286	10008.443934312896	141
114	-86.2576294970355	10008.205041936273	103
115	-98.79559540462611	10003.436546988778	62
116	-90.17469318628011	10005.417730873764	101
117	-99.39353138210824	10003.804551764877	61
118	-98.07414785424032	10003.162976317593	62
119	-83.6749012935171	10007.016943790983	135
